Date,Region,Category,Marketing_Spend,Discount_Percent,Units_Sold,Revenue,Profit
2025-12-03,North America,Home Appliances,1380.78,5,77,7923.44,1641.53
2025-12-04,Asia-Pacific,Electronics,607.35,5,35,4169.42,1622.24
2025-12-05,Latin America,Office Supplies,912.82,10,53,5406.07,1011.18
2025-12-06,Latin America,Electronics,985.17,20,51,4563.9,1459.93
2025-12-07,Asia-Pacific,Home Appliances,118.33,0,16,1171.99,241.69
2025-12-08,Latin America,Office Supplies,1028.95,0,62,4022.89,1037.28
2025-12-09,Asia-Pacific,Electronics,349.25,15,20,568.78,187.58
2025-12-10,Europe,Home Appliances,1445.5,0,77,4615.14,1342.23
2025-12-11,Asia-Pacific,Electronics,308.13,10,28,3108.38,798.47
2025-12-12,Asia-Pacific,Electronics,680.47,10,41,4132.89,957.11
2025-12-13,Asia-Pacific,Clothing,219.49,0,17,707.29,254.56
2025-12-14,Latin America,Clothing,1495.62,0,82,5466.18,1016.46
2025-12-15,Latin America,Home Appliances,803.07,15,42,4270.24,1099.7
2025-12-16,Asia-Pacific,Clothing,933.54,0,56,1497.35,562.91
2025-12-17,Latin America,Home Appliances,193.91,15,20,1174.79,424.64
2025-12-18,North America,Clothing,1149.94,15,64,6731.78,1684.53
2025-12-19,North America,Electronics,393.87,0,41,2475.98,843.76
2025-12-20,Latin America,Home Appliances,1357.28,5,78,2165.39,770.42
2025-12-21,Latin America,Home Appliances,387.2,5,29,2153.35,801.52
2025-12-22,Asia-Pacific,Electronics,366.96,15,20,2123.48,607.58
2025-12-23,Europe,Home Appliances,151.17,0,16,1264.46,254.3
2025-12-24,Latin America,Home Appliances,760.89,5,43,1833.0,391.95
2025-12-25,North America,Clothing,890.78,0,43,2512.23,562.55
2025-12-26,Asia-Pacific,Home Appliances,191.99,0,24,1560.3,465.67
2025-12-27,Latin America,Office Supplies,1185.74,0,66,5143.16,813.66
2025-12-28,North America,Electronics,734.6,20,38,3645.53,1126.51
2025-12-29,North America,Clothing,834.15,0,52,1554.14,374.69
2025-12-30,Europe,Clothing,717.07,20,44,4794.47,1073.05
2025-12-31,Asia-Pacific,Office Supplies,661.07,15,38,806.78,298.41
2026-01-01,Asia-Pacific,Electronics,883.5,5,53,3021.28,800.64
2026-01-02,Europe,Electronics,317.34,5,28,636.78,110.65
2026-01-03,Europe,Clothing,354.7,5,24,1423.14,507.62
2026-01-04,Asia-Pacific,Home Appliances,1306.5,5,75,5443.59,881.37
2026-01-05,Asia-Pacific,Clothing,1424.56,5,71,5052.94,1676.0
2026-01-06,Latin America,Electronics,622.63,5,33,1206.57,414.43
2026-01-07,Latin America,Office Supplies,479.04,5,35,2960.09,704.95
2026-01-08,Europe,Clothing,1001.6,15,50,1223.89,435.95
2026-01-09,Latin America,Electronics,672.23,0,44,4232.39,1180.48
2026-01-10,North America,Clothing,135.54,10,14,1605.3,426.73
2026-01-11,Latin America,Home Appliances,318.61,20,20,1079.54,174.18
2026-01-12,Latin America,Clothing,1102.36,10,58,4159.99,925.63
2026-01-13,North America,Clothing,1022.49,10,63,3647.13,1395.95
2026-01-14,Europe,Electronics,137.93,0,25,516.78,128.14
2026-01-15,North America,Electronics,410.76,0,32,1874.8,537.46
2026-01-16,Latin America,Electronics,423.5,0,32,3173.5,898.12
2026-01-17,Europe,Clothing,1040.65,5,57,4537.14,1350.29
2026-01-18,Latin America,Home Appliances,127.59,15,7,210.88,34.87
2026-01-19,North America,Office Supplies,245.75,5,21,2198.99,528.95
2026-01-20,North America,Office Supplies,1219.88,15,63,4605.84,1523.53
2026-01-21,Latin America,Electronics,349.96,15,15,1562.59,312.74
2026-01-22,Asia-Pacific,Electronics,1013.84,10,62,4837.37,971.8
2026-01-23,Asia-Pacific,Clothing,433.46,10,33,2506.97,382.37
